año,capitulo,nombre_capitulo,area,nombre_area,subtitulo,nombre_subtitulo,devengo
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,26,OTROS GASTOS CORRIENTES,138754702
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,241049529
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,31,INICIATIVAS DE INVERSION,12422989874
2018,22,SERVICIO DE SALUD ANTOFAGASTA,001,DIRECCIÓN SERVICIO DE SALUD ANTOFAGASTA,33,TRANSFERENCIAS DE CAPITAL,2933148649
2018,22,SERVICIO DE SALUD ANTOFAGASTA,002,HOSPITAL DE ANTOFAGASTA,21,GASTOS EN PERSONAL,53134617629
2018,22,SERVICIO DE SALUD ANTOFAGASTA,002,HOSPITAL DE ANTOFAGASTA,22,BIENES Y SERVICIOS DE CONSUMO,42003684255
2018,22,SERVICIO DE SALUD ANTOFAGASTA,002,HOSPITAL DE ANTOFAGASTA,23,PRESTACIONES DE SEGURIDAD SOCIAL,1763641887
2018,22,SERVICIO DE SALUD ANTOFAGASTA,002,HOSPITAL DE ANTOFAGASTA,26,OTROS GASTOS CORRIENTES,200949437
2018,22,SERVICIO DE SALUD ANTOFAGASTA,002,HOSPITAL DE ANTOFAGASTA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,75681402
2018,22,SERVICIO DE SALUD ANTOFAGASTA,003,HOSPITAL DE CALAMA,21,GASTOS EN PERSONAL,18123687701
2018,22,SERVICIO DE SALUD ANTOFAGASTA,003,HOSPITAL DE CALAMA,22,BIENES Y SERVICIOS DE CONSUMO,9167070188
2018,22,SERVICIO DE SALUD ANTOFAGASTA,003,HOSPITAL DE CALAMA,23,PRESTACIONES DE SEGURIDAD SOCIAL,236347208
2018,22,SERVICIO DE SALUD ANTOFAGASTA,003,HOSPITAL DE CALAMA,26,OTROS GASTOS CORRIENTES,211130
2018,22,SERVICIO DE SALUD ANTOFAGASTA,003,HOSPITAL DE CALAMA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,44881363
2018,22,SERVICIO DE SALUD ANTOFAGASTA,004,HOSPITAL DE TOCOPILLA,21,GASTOS EN PERSONAL,4549364384
2018,22,SERVICIO DE SALUD ANTOFAGASTA,004,HOSPITAL DE TOCOPILLA,22,BIENES Y SERVICIOS DE CONSUMO,2287007533
2018,22,SERVICIO DE SALUD ANTOFAGASTA,004,HOSPITAL DE TOCOPILLA,23,PRESTACIONES DE SEGURIDAD SOCIAL,153181755
2018,22,SERVICIO DE SALUD ANTOFAGASTA,004,HOSPITAL DE TOCOPILLA,26,OTROS GASTOS CORRIENTES,120592978
2018,22,SERVICIO DE SALUD ANTOFAGASTA,004,HOSPITAL DE TOCOPILLA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,19524147
2018,22,SERVICIO DE SALUD ANTOFAGASTA,005,HOSPITAL DE TALTAL,21,GASTOS EN PERSONAL,2426618207
2018,22,SERVICIO DE SALUD ANTOFAGASTA,005,HOSPITAL DE TALTAL,22,BIENES Y SERVICIOS DE CONSUMO,689938572
2018,22,SERVICIO DE SALUD ANTOFAGASTA,005,HOSPITAL DE TALTAL,23,PRESTACIONES DE SEGURIDAD SOCIAL,29927794
2018,22,SERVICIO DE SALUD ANTOFAGASTA,005,HOSPITAL DE TALTAL,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,4400650
2018,22,SERVICIO DE SALUD ANTOFAGASTA,006,HOSPITAL DE MEJILLONES,21,GASTOS EN PERSONAL,1526267842
2018,22,SERVICIO DE SALUD ANTOFAGASTA,006,HOSPITAL DE MEJILLONES,22,BIENES Y SERVICIOS DE CONSUMO,590226929
2018,22,SERVICIO DE SALUD ANTOFAGASTA,006,HOSPITAL DE MEJILLONES,23,PRESTACIONES DE SEGURIDAD SOCIAL,35154541
2018,22,SERVICIO DE SALUD ANTOFAGASTA,006,HOSPITAL DE MEJILLONES,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,1560156
2018,22,SERVICIO DE SALUD ANTOFAGASTA,007,CENTRO ASISTENCIAL NORTE,21,GASTOS EN PERSONAL,3130824453
2018,22,SERVICIO DE SALUD ANTOFAGASTA,007,CENTRO ASISTENCIAL NORTE,22,BIENES Y SERVICIOS DE CONSUMO,1497179441
2018,22,SERVICIO DE SALUD ANTOFAGASTA,007,CENTRO ASISTENCIAL NORTE,23,PRESTACIONES DE SEGURIDAD SOCIAL,25590399
2018,22,SERVICIO DE SALUD ANTOFAGASTA,007,CENTRO ASISTENCIAL NORTE,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,21814120
2018,23,SERVICIO DE SALUD ATACAMA,001,DIRECCIÓN SERVICIO DE SALUD ATACAMA,21,GASTOS EN PERSONAL,8468809920
2018,23,SERVICIO DE SALUD ATACAMA,001,DIRECCIÓN SERVICIO DE SALUD ATACAMA,22,BIENES Y SERVICIOS DE CONSUMO,6796420241
2018,23,SERVICIO DE SALUD ATACAMA,001,DIRECCIÓN SERVICIO DE SALUD ATACAMA,23,PRESTACIONES DE SEGURIDAD SOCIAL,1339448393
2018,23,SERVICIO DE SALUD ATACAMA,001,DIRECCIÓN SERVICIO DE SALUD ATACAMA,24,TRANSFERENCIAS CORRIENTES,26811584171
2018,23,SERVICIO DE SALUD ATACAMA,001,DIRECCIÓN SERVICIO DE SALUD ATACAMA,26,OTROS GASTOS CORRIENTES,256755815
2018,23,SERVICIO DE SALUD ATACAMA,001,DIRECCIÓN SERVICIO DE SALUD ATACAMA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,1802811255
2018,23,SERVICIO DE SALUD ATACAMA,001,DIRECCIÓN SERVICIO DE SALUD ATACAMA,31,INICIATIVAS DE INVERSION,173757766
2018,23,SERVICIO DE SALUD ATACAMA,002,HOSPITAL REGIONAL DE COPIAPÓ,21,GASTOS EN PERSONAL,27590456196
2018,23,SERVICIO DE SALUD ATACAMA,002,HOSPITAL REGIONAL DE COPIAPÓ,22,BIENES Y SERVICIOS DE CONSUMO,15811935880
2018,23,SERVICIO DE SALUD ATACAMA,002,HOSPITAL REGIONAL DE COPIAPÓ,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,34451711
2018,23,SERVICIO DE SALUD ATACAMA,003,HOSPITAL DE CHAÑARAL,21,GASTOS EN PERSONAL,1869165529
2018,23,SERVICIO DE SALUD ATACAMA,003,HOSPITAL DE CHAÑARAL,22,BIENES Y SERVICIOS DE CONSUMO,396353609
2018,23,SERVICIO DE SALUD ATACAMA,004,HOSPITAL DIEGO DE ALMAGRO,21,GASTOS EN PERSONAL,1691434126
2018,23,SERVICIO DE SALUD ATACAMA,004,HOSPITAL DIEGO DE ALMAGRO,22,BIENES Y SERVICIOS DE CONSUMO,420132273
2018,23,SERVICIO DE SALUD ATACAMA,004,HOSPITAL DIEGO DE ALMAGRO,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,1987300
2018,23,SERVICIO DE SALUD ATACAMA,005,HOSPITAL DE VALLENAR,21,GASTOS EN PERSONAL,12720441044
2018,23,SERVICIO DE SALUD ATACAMA,005,HOSPITAL DE VALLENAR,22,BIENES Y SERVICIOS DE CONSUMO,6718989348
2018,23,SERVICIO DE SALUD ATACAMA,005,HOSPITAL DE VALLENAR,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,57555522
2018,23,SERVICIO DE SALUD ATACAMA,006,HOSPITAL DE HUASCO,21,GASTOS EN PERSONAL,1740793803
2018,23,SERVICIO DE SALUD ATACAMA,006,HOSPITAL DE HUASCO,22,BIENES Y SERVICIOS DE CONSUMO,349181495
2018,24,SERVICIO DE SALUD COQUIMBO,001,DIRECCIÓN SERVICIO DE SALUD COQUIMBO,21,GASTOS EN PERSONAL,12726385826
2018,24,SERVICIO DE SALUD COQUIMBO,001,DIRECCIÓN SERVICIO DE SALUD COQUIMBO,22,BIENES Y SERVICIOS DE CONSUMO,7645424229
2018,24,SERVICIO DE SALUD COQUIMBO,001,DIRECCIÓN SERVICIO DE SALUD COQUIMBO,23,PRESTACIONES DE SEGURIDAD SOCIAL,110348190
2018,24,SERVICIO DE SALUD COQUIMBO,001,DIRECCIÓN SERVICIO DE SALUD COQUIMBO,24,TRANSFERENCIAS CORRIENTES,72016077174
2018,24,SERVICIO DE SALUD COQUIMBO,001,DIRECCIÓN SERVICIO DE SALUD COQUIMBO,26,OTROS GASTOS CORRIENTES,1332395844
2018,24,SERVICIO DE SALUD COQUIMBO,001,DIRECCIÓN SERVICIO DE SALUD COQUIMBO,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,109057346
2018,24,SERVICIO DE SALUD COQUIMBO,001,DIRECCIÓN SERVICIO DE SALUD COQUIMBO,31,INICIATIVAS DE INVERSION,31407770420
2018,24,SERVICIO DE SALUD COQUIMBO,002,HOSPITAL LA SERENA,21,GASTOS EN PERSONAL,29923673392
2018,24,SERVICIO DE SALUD COQUIMBO,002,HOSPITAL LA SERENA,22,BIENES Y SERVICIOS DE CONSUMO,24475317761
2018,24,SERVICIO DE SALUD COQUIMBO,002,HOSPITAL LA SERENA,23,PRESTACIONES DE SEGURIDAD SOCIAL,949617113
2018,24,SERVICIO DE SALUD COQUIMBO,002,HOSPITAL LA SERENA,26,OTROS GASTOS CORRIENTES,7500000
2018,24,SERVICIO DE SALUD COQUIMBO,002,HOSPITAL LA SERENA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,2068127419
2018,24,SERVICIO DE SALUD COQUIMBO,002,HOSPITAL LA SERENA,31,INICIATIVAS DE INVERSION,539578853
2018,24,SERVICIO DE SALUD COQUIMBO,003,HOSPITAL COQUIMBO,21,GASTOS EN PERSONAL,31000431592
2018,24,SERVICIO DE SALUD COQUIMBO,003,HOSPITAL COQUIMBO,22,BIENES Y SERVICIOS DE CONSUMO,26127682203
2018,24,SERVICIO DE SALUD COQUIMBO,003,HOSPITAL COQUIMBO,23,PRESTACIONES DE SEGURIDAD SOCIAL,762289102
2018,24,SERVICIO DE SALUD COQUIMBO,003,HOSPITAL COQUIMBO,26,OTROS GASTOS CORRIENTES,4279165
2018,24,SERVICIO DE SALUD COQUIMBO,003,HOSPITAL COQUIMBO,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,1274759172
2018,24,SERVICIO DE SALUD COQUIMBO,003,HOSPITAL COQUIMBO,31,INICIATIVAS DE INVERSION,2042740310
2018,24,SERVICIO DE SALUD COQUIMBO,004,HOSPITAL OVALLE,21,GASTOS EN PERSONAL,19145226763
2018,24,SERVICIO DE SALUD COQUIMBO,004,HOSPITAL OVALLE,22,BIENES Y SERVICIOS DE CONSUMO,10101525857
2018,24,SERVICIO DE SALUD COQUIMBO,004,HOSPITAL OVALLE,23,PRESTACIONES DE SEGURIDAD SOCIAL,140138206
2018,24,SERVICIO DE SALUD COQUIMBO,004,HOSPITAL OVALLE,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,50416000
2018,24,SERVICIO DE SALUD COQUIMBO,005,HOSPITAL ILLAPEL,21,GASTOS EN PERSONAL,6332512358
2018,24,SERVICIO DE SALUD COQUIMBO,005,HOSPITAL ILLAPEL,22,BIENES Y SERVICIOS DE CONSUMO,1885637391
2018,24,SERVICIO DE SALUD COQUIMBO,005,HOSPITAL ILLAPEL,23,PRESTACIONES DE SEGURIDAD SOCIAL,28549162
2018,24,SERVICIO DE SALUD COQUIMBO,005,HOSPITAL ILLAPEL,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,539512573
2018,24,SERVICIO DE SALUD COQUIMBO,006,HOSPITAL SALAMANCA,21,GASTOS EN PERSONAL,3007518470
2018,24,SERVICIO DE SALUD COQUIMBO,006,HOSPITAL SALAMANCA,22,BIENES Y SERVICIOS DE CONSUMO,1199535756
2018,24,SERVICIO DE SALUD COQUIMBO,006,HOSPITAL SALAMANCA,23,PRESTACIONES DE SEGURIDAD SOCIAL,50351643
2018,24,SERVICIO DE SALUD COQUIMBO,006,HOSPITAL SALAMANCA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,7924398
2018,24,SERVICIO DE SALUD COQUIMBO,007,HOSPITAL COMBARBALÁ,21,GASTOS EN PERSONAL,1890346939
2018,24,SERVICIO DE SALUD COQUIMBO,007,HOSPITAL COMBARBALÁ,22,BIENES Y SERVICIOS DE CONSUMO,532204679
2018,24,SERVICIO DE SALUD COQUIMBO,007,HOSPITAL COMBARBALÁ,23,PRESTACIONES DE SEGURIDAD SOCIAL,28067289
2018,24,SERVICIO DE SALUD COQUIMBO,007,HOSPITAL COMBARBALÁ,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,84090044
2018,24,SERVICIO DE SALUD COQUIMBO,008,HOSPITAL DE ANDACOLLO,21,GASTOS EN PERSONAL,1596878720
2018,24,SERVICIO DE SALUD COQUIMBO,008,HOSPITAL DE ANDACOLLO,22,BIENES Y SERVICIOS DE CONSUMO,616857471
2018,24,SERVICIO DE SALUD COQUIMBO,008,HOSPITAL DE ANDACOLLO,23,PRESTACIONES DE SEGURIDAD SOCIAL,57511395
2018,24,SERVICIO DE SALUD COQUIMBO,008,HOSPITAL DE ANDACOLLO,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,162682754
2018,24,SERVICIO DE SALUD COQUIMBO,009,HOSPITAL VICUÑA,21,GASTOS EN PERSONAL,2228996002
2018,24,SERVICIO DE SALUD COQUIMBO,009,HOSPITAL VICUÑA,22,BIENES Y SERVICIOS DE CONSUMO,799236161
2018,24,SERVICIO DE SALUD COQUIMBO,009,HOSPITAL VICUÑA,23,PRESTACIONES DE SEGURIDAD SOCIAL,87386481
2018,24,SERVICIO DE SALUD COQUIMBO,009,HOSPITAL VICUÑA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,2364321
2018,24,SERVICIO DE SALUD COQUIMBO,010,HOSPITAL LOS VILOS,21,GASTOS EN PERSONAL,2940537090
2018,24,SERVICIO DE SALUD COQUIMBO,010,HOSPITAL LOS VILOS,22,BIENES Y SERVICIOS DE CONSUMO,972550026
2018,24,SERVICIO DE SALUD COQUIMBO,010,HOSPITAL LOS VILOS,23,PRESTACIONES DE SEGURIDAD SOCIAL,33920553
2018,24,SERVICIO DE SALUD COQUIMBO,010,HOSPITAL LOS VILOS,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,21799493
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,001,DIRECCIÓN SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,21,GASTOS EN PERSONAL,11432029905
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,001,DIRECCIÓN SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,22,BIENES Y SERVICIOS DE CONSUMO,9432243511
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,001,DIRECCIÓN SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,23,PRESTACIONES DE SEGURIDAD SOCIAL,263975296
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,001,DIRECCIÓN SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,24,TRANSFERENCIAS CORRIENTES,42081597003
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,001,DIRECCIÓN SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,455144685
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,001,DIRECCIÓN SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,31,INICIATIVAS DE INVERSION,15542259523
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,002,HOSPITAL CARLOS VAN BUREN,21,GASTOS EN PERSONAL,50137410228
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,002,HOSPITAL CARLOS VAN BUREN,22,BIENES Y SERVICIOS DE CONSUMO,33083441685
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,002,HOSPITAL CARLOS VAN BUREN,23,PRESTACIONES DE SEGURIDAD SOCIAL,1822268641
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,002,HOSPITAL CARLOS VAN BUREN,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,3068595106
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,002,HOSPITAL CARLOS VAN BUREN,31,INICIATIVAS DE INVERSION,199861784
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,003,HOSPITAL CLAUDIO VICUÑA,21,GASTOS EN PERSONAL,12604131538
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,003,HOSPITAL CLAUDIO VICUÑA,22,BIENES Y SERVICIOS DE CONSUMO,7342080886
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,003,HOSPITAL CLAUDIO VICUÑA,23,PRESTACIONES DE SEGURIDAD SOCIAL,401330871
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,003,HOSPITAL CLAUDIO VICUÑA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,663195741
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,003,HOSPITAL CLAUDIO VICUÑA,31,INICIATIVAS DE INVERSION,14295309
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,004,HOSPITAL DEL SALVADOR,21,GASTOS EN PERSONAL,5412273771
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,004,HOSPITAL DEL SALVADOR,22,BIENES Y SERVICIOS DE CONSUMO,1923720199
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,004,HOSPITAL DEL SALVADOR,23,PRESTACIONES DE SEGURIDAD SOCIAL,100458053
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,004,HOSPITAL DEL SALVADOR,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,10082656
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,005,HOSPITAL SAN JOSÉ CASABLANCA,21,GASTOS EN PERSONAL,2238812502
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,005,HOSPITAL SAN JOSÉ CASABLANCA,22,BIENES Y SERVICIOS DE CONSUMO,797355870
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,005,HOSPITAL SAN JOSÉ CASABLANCA,23,PRESTACIONES DE SEGURIDAD SOCIAL,57901325
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,005,HOSPITAL SAN JOSÉ CASABLANCA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,10243246
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,007,HOSPITAL DOCTOR EDUARDO PEREIRA,21,GASTOS EN PERSONAL,12334151473
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,007,HOSPITAL DOCTOR EDUARDO PEREIRA,22,BIENES Y SERVICIOS DE CONSUMO,5986306812
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,007,HOSPITAL DOCTOR EDUARDO PEREIRA,23,PRESTACIONES DE SEGURIDAD SOCIAL,364935504
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,007,HOSPITAL DOCTOR EDUARDO PEREIRA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,2006895202
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,008,ATENCIÓN PRIMARIA DE SALUD,21,GASTOS EN PERSONAL,3819518643
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,008,ATENCIÓN PRIMARIA DE SALUD,22,BIENES Y SERVICIOS DE CONSUMO,788336298
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,008,ATENCIÓN PRIMARIA DE SALUD,23,PRESTACIONES DE SEGURIDAD SOCIAL,49401222
2018,25,SERVICIO DE SALUD VAPARAÍSO-SAN ANTONIO,008,ATENCIÓN PRIMARIA DE SALUD,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,11829024
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,001,DIRECCIÓN SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,21,GASTOS EN PERSONAL,15903189105
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,001,DIRECCIÓN SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,22,BIENES Y SERVICIOS DE CONSUMO,11013403232
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,001,DIRECCIÓN SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,23,PRESTACIONES DE SEGURIDAD SOCIAL,3370964070
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,001,DIRECCIÓN SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,24,TRANSFERENCIAS CORRIENTES,81383825004
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,001,DIRECCIÓN SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,226028745
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,001,DIRECCIÓN SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,31,INICIATIVAS DE INVERSION,56094267522
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,002,HOSPITAL DOCTOR GUSTAVO FRICKE,21,GASTOS EN PERSONAL,52740731631
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,002,HOSPITAL DOCTOR GUSTAVO FRICKE,22,BIENES Y SERVICIOS DE CONSUMO,41307729072
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,002,HOSPITAL DOCTOR GUSTAVO FRICKE,23,PRESTACIONES DE SEGURIDAD SOCIAL,457122
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,002,HOSPITAL DOCTOR GUSTAVO FRICKE,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,126444595
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,003,HOSPITAL DE QUILLOTA,21,GASTOS EN PERSONAL,19476597831
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,003,HOSPITAL DE QUILLOTA,22,BIENES Y SERVICIOS DE CONSUMO,12419560480
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,003,HOSPITAL DE QUILLOTA,23,PRESTACIONES DE SEGURIDAD SOCIAL,764824
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,003,HOSPITAL DE QUILLOTA,29,ADQUISICION DE ACTIVOS NO FINANCIEROS,1328212853
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,004,HOSPITAL DE QUILPUÉ,21,GASTOS EN PERSONAL,16973919711
2018,26,SERVICIO DE SALUD VIÑA DEL MAR Y QUILLOTA,004,HOSPITAL DE QUILPU��,21,GASTOS EN PERSONAL,367720
